id,"name_type_of_cell_Line","contact","centre","comment","atcc_no_or_other_ref","str_profiled"
112,"A172TR3","Vipul Bhakta","Molecular Oncology","Human glioblastoma - temozolomide resistant","",""
113,"A2780cp70","Vipul Bhakta","Molecular Oncology","Human ovarian carcinoma","ECACC:93112517","YES"
114,"DLD1","Vipul Bhakta","Molecular Oncology","Human colon adenocarcinoma","CCL-221","YES"
115,"DLD1+Chr2","Vipul Bhakta","Molecular Oncology","Human colon adenocarcinoma","CCL-221","YES"
116,"HCT116","Vipul Bhakta","Molecular Oncology","Human colon adenocarcinoma","CCL-247","YES"
117,"HCT116+Chr3","Vipul Bhakta","Molecular Oncology","Human colon adenocarcinoma","CCL-247","YES"
118,"HEC1B","Vipul Bhakta","Molecular Oncology","Human Endometrial carcinoma","",""
119,"HEC59","Vipul Bhakta","Molecular Oncology","Human Endometrial carcinoma","derived from JCRB1120","YES"
120,"HEC59+Chr2","Vipul Bhakta","Molecular Oncology","Human Endometrial carcinoma","derived from JCRB1120","YES"
121,"HeLa","Vipul Bhakta","Molecular Oncology","Human cervical carcinoma","CCL-2","YES"
122,"HT29","Vipul Bhakta","Molecular Oncology","Human colon adenocarcinoma","",""
123,"IGROV","Vipul Bhakta","Molecular Oncology","Human ovarian carcinoma","",""
124,"MFE280","Vipul Bhakta","Molecular Oncology","Human Endometrial carcinoma","",""
125,"MFE296","Vipul Bhakta","Molecular Oncology","Human Endometrial carcinoma","",""
126,"SKOV3","Vipul Bhakta","Molecular Oncology","Human ovarian carcinoma","",""
127,"SW480","Vipul Bhakta","Molecular Oncology","Human colon adenocarcinoma","",""
128,"SW620","Vipul Bhakta","Molecular Oncology","Human colon adenocarcinoma","",""
129,"ASPC1","Vipul Bhakta","Molecular Oncology","","CRL-1682",""
130,"BxPc3","Vipul Bhakta","Molecular Oncology","","",""
131,"Capan2","Vipul Bhakta","Molecular Oncology","","",""
132,"CfPac1","Vipul Bhakta","Molecular Oncology","","","YES"
133,"FA6","Vipul Bhakta","Molecular Oncology","","","YES"
134,"HPAF","Vipul Bhakta","Molecular Oncology","","",""
135,"HPDE","Vipul Bhakta","Molecular Oncology","","PromoCell Human Dermal Microvascular Endothelial Cells (PCS-110-010)","YES"
136,"HS766T","Vipul Bhakta","Molecular Oncology","","HTB-130",""
137,"MIAPACA2","Vipul Bhakta","Molecular Oncology","","CRL-1420","YES"
138,"PANC1","Vipul Bhakta","Molecular Oncology","","CRL-1469","YES"
139,"PaTu8988S","Vipul Bhakta","Molecular Oncology","","",""
140,"PaTu8988T","Vipul Bhakta","Molecular Oncology","","ACC 204 ",""
141,"RwP1","Vipul Bhakta","Molecular Oncology","","Dr Michael Pepper Human Dermal Microvascular Endothelial Cells (PCS-110-010)","YES"
142,"Capan-1","Vipul Bhakta","Molecular Oncology","","HTB-79","YES"
143,"Capan-2","Vipul Bhakta","Molecular Oncology","","HTB-80","YES"
144,"HCT116 3.1","Vipul Bhakta","Molecular Oncology","Human colon adenocarcinoma","CCL-247","YES"
145,"MCF-7 3.1","Vipul Bhakta","Molecular Oncology","","HTB-22","YES"
146,"Patu-1","Vipul Bhakta","Molecular Oncology","","ACC 179 - DSMZ (German Cell Bank)","YES"
147,"Patu-2","Vipul Bhakta","Molecular Oncology","","ACC 179 - DSMZ (German Cell Bank)","YES"
148,"PaTu8988s","Vipul Bhakta","Molecular Oncology","","ACC 204 ","YES"
149,"PaTu8988t","Vipul Bhakta","Molecular Oncology","","ACC 162 ","YES"
150,"SKBR","Vipul Bhakta","Molecular Oncology","","HTB-30","YES"
151,"Skbr-3.1","Vipul Bhakta","Molecular Oncology","","HTB-30","YES"
152,"Suit-2-3.1","Vipul Bhakta","Molecular Oncology","","JCRB1094 ","YES"
153,"22RV1","Vipul Bhakta","Molecular Oncology","Prostate Cancer","CRL-2505","YES"
154,"833K","Vipul Bhakta","Molecular Oncology","Testicular Germ Cell Tumours","",""
155,"833K","Vipul Bhakta","Molecular Oncology","Testicular Germ Cell Tumours (Cisplatin resistant)","",""
156,"CH1","Vipul Bhakta","Molecular Oncology","Murine B-Cell lymphoma","",""
157,"DU145","Vipul Bhakta","Molecular Oncology","Prostate Cancer","HTB-81","YES"
158,"GCT27","Vipul Bhakta","Molecular Oncology","Testicular Germ Cell Tumours","",""
159,"GCT27","Vipul Bhakta","Molecular Oncology","Testicular Germ Cell Tumours (Cisplatin resistant)","",""
160,"HEK 293 T-REx","Vipul Bhakta","Molecular Oncology","Human Embryonic Kidney","",""
161,"LNCaP","Vipul Bhakta","Molecular Oncology","Prostate Cancer","CRL-1740","YES"
162,"PC3","Vipul Bhakta","Molecular Oncology","Prostate Cancer","CRL - 1435","YES"
163,"PNT1a","Vipul Bhakta","Molecular Oncology","Prostate Cancer","ECACC 95012614","YES"
164,"PNT2","Vipul Bhakta","Molecular Oncology","Prostate Cancer","ECACC 95012613","YES"
165,"Susa","Vipul Bhakta","Molecular Oncology","Testicular Germ Cell Tumours","",""
166,"Susa","Vipul Bhakta","Molecular Oncology","Testicular Germ Cell Tumours (Cisplatin resistant)","",""
167,"VCaP","Vipul Bhakta","Molecular Oncology","Prostate Cancer","CRL-2876","YES"
168,"MCF 7","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
169,"DU145","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
170,"HAPT1","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
171,"DLD 1","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
172,"PC3","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
173,"HAK","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
174,"DDT1-MF2","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
175,"HEP2","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
176,"HS766T","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
177,"HELA","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
178,"J558","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
179,"SK-BR3","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
180,"SUIT 2","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
181,"MIAPACA 2","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
182,"CALU 1","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
183,"OV CAR 3","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
184,"CMT 93 OVA","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
185,"CMT 96","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
186,"SW 620","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
187,"HPD INR","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
188,"A2780","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
189,"B16-OVA","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
190,"HEK 293 (STAR D10)","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
191,"HEK -293","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
192,"LNCAP C42B","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
193,"ASC 1","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
194,"CV1","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
195,"W162","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
196,"BX PC 3","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
197,"ASPC 1","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
198,"NHBE (primary)","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
199,"Prec (Primary)","Yaohe Wang/Gunnel Hallden","Molecular Oncology","","",""
372,"G361","Prof L Jones","Tumour Biology","","",""
373,"MCF-7","Prof L Jones","Tumour Biology","","",""
374,"MYO b6","Prof L Jones","Tumour Biology","","",""
375,"Myo Puro","Prof L Jones","Tumour Biology","","",""
376,"MDA MB 468","Prof L Jones","Tumour Biology","","",""
377,"T47D","Prof L Jones","Tumour Biology","","",""
378,"THP-1","Prof L Jones","Tumour Biology","","",""
379,"MCF7 Clone 5","Debbie Buckle","Tumour Biology","Helen Hurst's","",""
380,"MCF7 VA","Debbie Buckle","Tumour Biology","Helen Hurst's","",""
381,"MCF7 C18","Debbie Buckle","Tumour Biology","Helen Hurst's","",""
382,"MCF7 C24","Debbie Buckle","Tumour Biology","Helen Hurst's","",""
383,"T47D W/T","Debbie Buckle","Tumour Biology","Helen Hurst's","",""
384,"T47D TR","Debbie Buckle","Tumour Biology","Helen Hurst's","",""
385,"H3396 TR","Debbie Buckle","Tumour Biology","Helen Hurst's","",""
386,"ZR75 TR","Debbie Buckle","Tumour Biology","Helen Hurst's","",""
387,"MCF10A","Debbie Buckle","Tumour Biology","Helen Hurst's","",""
388,"MCF10A CA1","Debbie Buckle","Tumour Biology","Helen Hurst's","",""
389,"mcf7tr","","Tumour Biology","","",""
390,"cfPAC1","Dr H Kocher","Tumour Biology","","",""
391,"HPAF","Dr H Kocher","Tumour Biology","","",""
392,"PANC 0403 ","Dr H Kocher","Tumour Biology","","",""
393,"PaTu8988S","Dr H Kocher","Tumour Biology","","",""
394,"HPDE","Dr H Kocher","Tumour Biology","","",""
395,"PaTu8988T","Dr H Kocher","Tumour Biology","","",""
396,"MIA PACA2","Dr H Kocher","Tumour Biology","","",""
397,"DEChTERT","Dr H Kocher","Tumour Biology","","",""
398,"RLT PSC","Dr H Kocher","Tumour Biology","","",""
399,"SUIT2","Dr H Kocher","Tumour Biology","","",""
400,"PaCa3","Dr H Kocher","Tumour Biology","","",""
401,"Jurkat","Prof L Jones","Tumour Biology","","",""
402,"HuVEC hTERT","Dr H Kocher","Tumour Biology","","",""
403,"PS1","Dr H Kocher","Tumour Biology","","",""
404,"Panc1","Dr H Kocher","Tumour Biology","","",""
405,"Capan1","Dr H Kocher","Tumour Biology","","",""
406,"ASPC","Dr H Kocher","Tumour Biology","","",""
407,"CAPAN2","Dr H Kocher","Tumour Biology","","",""
408,"MDA MB 468","Dr S Kermorgant","Tumour Biology","","",""
409,"H226","Dr S Kermorgant","Tumour Biology","","",""
410,"H596","Dr S Kermorgant","Tumour Biology","","",""
411,"HR BT474","Dr S Kermorgant","Tumour Biology","","",""
412,"Hela","Dr S Kermorgant","Tumour Biology","","",""
413,"P BT474","Dr S Kermorgant","Tumour Biology","","",""
414,"MRC5","Dr S Kermorgant","Tumour Biology","","",""
415,"MDA MB 231","Dr S Kermorgant","Tumour Biology","","",""
416,"MCF10A DCIS","Dr S Kermorgant","Tumour Biology","","",""
417,"U87MG","Dr S Kermorgant","Tumour Biology","","",""
418,"H661","Dr S Kermorgant","Tumour Biology","","",""
419,"MCF-10A","Dr JF Marshall","Tumour Biology","","",""
420,"MCF-10AT1k.c12","Dr JF Marshall","Tumour Biology","","",""
421,"MCF-10A.neoT","Dr JF Marshall","Tumour Biology","","",""
422,"MCF-10A.CA1a","Dr JF Marshall","Tumour Biology","","",""
423,"MCF-10A.CA1h","Dr JF Marshall","Tumour Biology","","",""
424,"MCF-10ADCIS.com","Dr JF Marshall","Tumour Biology","","",""
425,"Fadu","Dr JF Marshall","Tumour Biology","","",""
426,"Detroit","Dr JF Marshall","Tumour Biology","","",""
427,"HaCaT","Dr JF Marshall","Tumour Biology","","",""
428,"H357","Dr JF Marshall","Tumour Biology","","",""
429,"VB6","Dr JF Marshall","Tumour Biology","","",""
430,"CA1","Dr JF Marshall","Tumour Biology","","",""
431,"BICR6","Dr JF Marshall","Tumour Biology","","",""
432,"C1","Dr JF Marshall","Tumour Biology","","",""
433,"V3","Dr JF Marshall","Tumour Biology","","",""
434,"A375M","Dr JF Marshall","Tumour Biology","","",""
435,"A375P","Dr JF Marshall","Tumour Biology","","",""
436,"A375Ppuro","Dr JF Marshall","Tumour Biology","","",""
437,"A375Pb6","Dr JF Marshall","Tumour Biology","","",""
